event_time;event_type;product_id;category_code;brand;price;user_id;user_session
2020-09-24 11:57:06 UTC;view;1996170;electronics.telephone;;2775,3;1515915625519388267;LJuJVLEjPT
2020-09-24 11:57:26 UTC;view;139905;computers.components.cooler;zalman;1492,92;1515915625519380411;tdicluNnRY
2020-09-24 11:57:27 UTC;view;215454;;;853,47;1515915625513238515;4TMArHtXQy
2020-09-24 11:57:33 UTC;view;635807;computers.peripherals.printer;pantum;9901,47;1515915625519014356;aGFYrNgC08
2020-09-24 11:57:36 UTC;view;3658723;;cameronsino;1380,69;1515915625510743344;aa4mmk0kwQ
2020-09-24 11:57:59 UTC;view;664325;construction.tools.saw;carver;4552,71;1515915625519388062;vnkdP81DDW
2020-09-24 11:58:23 UTC;view;3791349;computers.desktop;;18740,67;1515915625519388877;J1t6sIYXiV
2020-09-24 11:58:24 UTC;view;716611;computers.network.router;d-link;4623,18;1515915625519388882;kVBeYDPcBw
2020-09-24 11:58:25 UTC;view;657859;;;2972,79;1515915625519320570;HEl15U7JVy
2020-09-24 11:58:31 UTC;view;716611;computers.network.router;d-link;4623,18;1515915625519388929;F3VB9LYp39
2020-09-24 11:58:34 UTC;view;811491;;ritmix;2898,84;1515915625356205647;aFLc6y9kn4
2020-09-24 11:58:54 UTC;view;811491;;ritmix;2898,84;1515915625356205647;aFLc6y9kn4
2020-09-24 11:59:26 UTC;view;337116;;;1270,2;1515915625519388117;ENxC0kqyAa
2020-09-24 12:00:00 UTC;view;1080093;computers.peripherals.printer;ricoh;23330,79;1515915625519389483;63xjTFC54g
2020-09-24 12:00:01 UTC;view;1455459;electronics.video.tv;sony;55299,81;1515915625519385419;sF2S2yMO09
2020-09-24 12:00:10 UTC;view;3537266;auto.accessories.player;kenwood;8004;1515915625519389538;FwLEmI1E0K
2020-09-24 12:00:16 UTC;view;3830537;;cameronsino;1574,7;1515915625519389572;Hsjky2QXGx
2020-09-24 12:00:33 UTC;view;523117;computers.components.motherboard;asrock;6421,47;1515915625519334445;HycmCUvnFr
2020-09-24 12:00:36 UTC;view;3830671;;pocketbook;2113,23;1515915625519389712;brgASCNTJs
2020-09-24 12:00:37 UTC;view;10914;electronics.camera.video;sony;3562,65;1515915625519389726;kYKAorW97d
2020-09-24 12:00:39 UTC;view;1021484;;;17659,26;1515915625519389101;fO4BG6BTMi
2020-09-24 12:00:53 UTC;view;1926;;;1159,71;1515915625519387465;Vyr7Td3cen
2020-09-24 12:00:57 UTC;view;1642942;computers.peripherals.keyboard;;3546,12;1515915625519389873;0r39Gl2v0C
2020-09-24 12:00:59 UTC;view;3829275;;blast;2600,43;1515915625356205647;aFLc6y9kn4
2020-09-24 12:01:01 UTC;view;315366;;;1394,61;1515915625507214919;aoKZ49LzpD
2020-09-24 12:01:01 UTC;view;1021484;;;17659,26;1515915625519389101;fO4BG6BTMi
2020-09-24 12:01:07 UTC;view;1356542;;patriot;10663,59;1515915625519388953;tqYmDbhgHs
2020-09-24 12:01:11 UTC;view;144417;;hynix;1197,12;1515915625519389935;dd6M8ipy1u
2020-09-24 12:01:13 UTC;view;3506345;;fit;991,8;1515915625519320570;HEl15U7JVy
2020-09-24 12:01:18 UTC;view;1399998;;;1022,25;1515915625519389998;qQ5lSpmUM3
2020-09-24 12:01:33 UTC;view;888783;computers.components.hdd;;7222,74;1515915625519356010;3jFpdbozOd
2020-09-24 12:01:37 UTC;view;261923;;panasonic;3284,25;1515915625519388006;17S2LXOG91
2020-09-24 12:02:12 UTC;view;337116;;;1270,2;1515915625519388117;ENxC0kqyAa
2020-09-24 12:02:19 UTC;view;3828758;electronics.audio.acoustic;eva;1878,33;1515915625519390366;F71OG8wWVP
2020-09-24 12:02:34 UTC;view;1507291;computers.components.power_supply;supermicro;18928,59;1515915625519390468;UzabYgCPva
2020-09-24 12:02:39 UTC;view;3536864;;sirius;4101,18;1515915625519382571;Ve8a3LzDoI
2020-09-24 12:02:44 UTC;view;347850;appliances.steam_cleaner;rowenta;23325,57;1515915625519389855;rzbjp1wpzi
2020-09-24 12:02:53 UTC;cart;1507291;computers.components.power_supply;supermicro;18928,59;1515915625519390468;UzabYgCPva
2020-09-24 12:02:54 UTC;view;758525;electronics.telephone;;136,59;1515915625519384255;4xoRmrunYk
